iter	Passed	Remaining
0	52	52536
1	57	28778
2	62	20925
3	68	17005
4	73	14557
5	78	12935
6	82	11773
7	87	10900
8	93	10244
9	99	9876
10	104	9436
11	110	9064
12	115	8735
13	121	8576
14	128	8405
15	133	8183
16	137	7974
17	142	7795
18	147	7636
19	153	7497
20	157	7365
21	163	7250
22	168	7140
23	174	7082
24	179	7010
25	184	6921
26	189	6842
27	196	6822
28	201	6750
29	206	6677
30	211	6603
31	216	6536
32	221	6476
33	225	6416
34	230	6360
35	235	6308
36	240	6257
37	246	6235
38	251	6187
39	256	6144
40	260	6101
41	268	6129
42	280	6244
43	286	6214
44	291	6177
45	295	6138
46	300	6098
47	305	6059
48	310	6021
49	314	5984
50	319	5949
51	324	5919
52	329	5886
53	334	5854
54	338	5822
55	343	5792
56	348	5766
57	353	5739
58	359	5727
59	363	5699
60	368	5675
61	373	5651
62	378	5630
63	383	5605
64	388	5582
65	392	5560
66	397	5538
67	402	5517
68	407	5498
69	412	5478
70	417	5461
71	422	5440
72	433	5510
73	439	5497
74	444	5477
75	449	5461
76	454	5445
77	459	5428
78	464	5413
79	469	5397
80	474	5384
81	479	5368
82	484	5353
83	489	5339
84	494	5324
85	499	5310
86	504	5295
87	509	5280
88	514	5270
89	519	5256
90	524	5241
91	529	5230
92	534	5216
93	539	5204
94	545	5197
95	550	5183
96	555	5170
97	560	5158
98	565	5149
99	570	5138
100	575	5126
101	580	5112
102	585	5099
103	591	5095
104	598	5105
105	604	5097
106	609	5086
107	614	5074
108	619	5063
109	624	5051
110	629	5039
111	634	5027
112	638	5015
113	644	5006
114	649	4994
115	653	4983
116	658	4969
117	664	4965
118	672	4981
119	680	4993
120	686	4988
121	691	4976
122	696	4964
123	701	4953
124	705	4941
125	710	4930
126	724	4977
127	739	5035
128	750	5069
129	769	5152
130	783	5197
131	796	5235
132	810	5281
133	818	5290
134	825	5291
135	831	5284
136	845	5325
137	859	5368
138	875	5425
139	883	5429
140	894	5452
141	906	5474
142	924	5538
143	934	5556
144	945	5574
145	950	5558
146	955	5542
147	959	5525
148	964	5509
149	969	5493
150	974	5480
151	986	5501
152	1004	5562
153	1009	5547
154	1014	5530
155	1019	5516
156	1026	5511
157	1031	5496
158	1039	5496
159	1043	5480
160	1048	5464
161	1053	5452
162	1061	5452
163	1067	5440
164	1072	5429
165	1077	5414
166	1082	5398
167	1088	5391
168	1093	5376
169	1098	5362
170	1103	5347
171	1107	5332
172	1113	5322
173	1118	5308
174	1122	5293
175	1127	5279
176	1132	5267
177	1138	5259
178	1143	5245
179	1148	5231
180	1153	5217
181	1158	5204
182	1162	5191
183	1168	5180
184	1173	5168
185	1177	5154
186	1184	5150
187	1190	5141
188	1195	5128
189	1199	5115
190	1204	5103
191	1209	5091
192	1214	5079
193	1223	5083
194	1238	5111
195	1249	5125
196	1256	5122
197	1264	5121
198	1270	5112
199	1282	5130
200	1297	5156
201	1311	5181
202	1323	5196
203	1338	5220
204	1347	5227
205	1360	5244
206	1365	5231
207	1371	5220
208	1375	5206
209	1380	5193
210	1385	5181
211	1391	5173
212	1397	5162
213	1401	5148
214	1406	5135
215	1411	5122
216	1416	5110
217	1421	5097
218	1426	5087
219	1431	5077
220	1437	5066
221	1442	5053
222	1447	5042
223	1453	5034
224	1458	5022
225	1462	5010
226	1468	4999
227	1472	4987
228	1477	4975
229	1485	4972
230	1491	4966
231	1496	4953
232	1501	4943
233	1507	4933
234	1511	4921
235	1516	4908
236	1521	4896
237	1526	4886
238	1533	4883
239	1539	4873
240	1543	4862
241	1548	4850
242	1554	4843
243	1561	4837
244	1566	4828
245	1571	4817
246	1576	4805
247	1581	4794
248	1585	4782
249	1590	4772
250	1595	4761
251	1600	4751
252	1605	4740
253	1610	4730
254	1615	4720
255	1620	4709
256	1626	4700
257	1631	4691
258	1635	4680
259	1641	4670
260	1645	4660
261	1650	4650
262	1655	4639
263	1660	4629
264	1665	4618
265	1670	4610
266	1675	4600
267	1680	4590
268	1685	4581
269	1690	4571
270	1696	4564
271	1701	4554
272	1706	4544
273	1712	4537
274	1719	4534
275	1725	4527
276	1731	4520
277	1738	4514
278	1751	4526
279	1763	4533
280	1779	4552
281	1793	4565
282	1806	4576
283	1816	4579
284	1828	4586
285	1839	4593
286	1857	4614
287	1877	4640
288	1889	4648
289	1906	4666
290	1912	4660
291	1917	4650
292	1922	4639
293	1927	4629
294	1932	4618
295	1937	4607
296	1942	4597
297	1947	4587
298	1953	4579
299	1964	4584
300	1978	4594
301	1993	4607
302	2004	4611
303	2011	4606
304	2017	4598
305	2024	4590
306	2031	4586
307	2038	4579
308	2043	4570
309	2051	4566
310	2062	4570
311	2068	4562
312	2079	4563
313	2084	4554
314	2094	4553
315	2099	4545
316	2105	4535
317	2110	4525
318	2116	4517
319	2120	4506
320	2125	4496
321	2131	4487
322	2135	4476
323	2140	4466
324	2145	4456
325	2150	4446
326	2155	4436
327	2160	4427
328	2166	4417
329	2174	4413
330	2181	4408
331	2188	4402
332	2195	4397
333	2200	4387
334	2205	4379
335	2211	4369
336	2216	4359
337	2221	4350
338	2226	4340
339	2231	4332
340	2237	4323
341	2244	4317
342	2271	4351
343	2287	4361
344	2305	4376
345	2316	4379
346	2331	4387
347	2339	4383
348	2346	4376
349	2351	4367
350	2356	4357
351	2361	4347
352	2366	4337
353	2371	4327
354	2376	4318
355	2381	4308
356	2386	4298
357	2391	4288
358	2396	4279
359	2401	4269
360	2406	4259
361	2411	4250
362	2416	4240
363	2421	4230
364	2428	4225
365	2433	4216
366	2438	4206
367	2443	4197
368	2448	4187
369	2454	4178
370	2458	4168
371	2463	4159
372	2468	4149
373	2473	4140
374	2478	4130
375	2483	4121
376	2488	4113
377	2493	4103
378	2499	4095
379	2504	4086
380	2509	4077
381	2514	4067
382	2519	4059
383	2526	4052
384	2532	4046
385	2538	4037
386	2543	4028
387	2548	4019
388	2553	4010
389	2558	4001
390	2563	3992
391	2568	3983
392	2573	3974
393	2578	3966
394	2583	3956
395	2587	3947
396	2592	3937
397	2597	3929
398	2602	3920
399	2607	3911
400	2612	3902
401	2618	3894
402	2623	3885
403	2628	3877
404	2633	3868
405	2638	3860
406	2643	3852
407	2648	3843
408	2653	3834
409	2658	3826
410	2663	3817
411	2668	3808
412	2673	3800
413	2678	3791
414	2683	3783
415	2689	3776
416	2694	3767
417	2700	3760
418	2709	3757
419	2716	3750
420	2721	3742
421	2726	3734
422	2732	3727
423	2737	3718
424	2743	3711
425	2748	3703
426	2753	3694
427	2758	3686
428	2763	3678
429	2768	3670
430	2774	3662
431	2779	3654
432	2785	3647
433	2790	3639
434	2795	3630
435	2800	3622
436	2805	3613
437	2811	3606
438	2816	3598
439	2821	3590
440	2827	3583
441	2834	3578
442	2840	3570
443	2845	3563
444	2850	3555
445	2856	3547
446	2861	3539
447	2866	3531
448	2872	3525
449	2877	3517
450	2883	3509
451	2888	3501
452	2893	3493
453	2898	3486
454	2903	3478
455	2908	3470
456	2913	3462
457	2918	3453
458	2924	3447
459	2930	3440
460	2935	3432
461	2940	3424
462	2946	3416
463	2952	3411
464	2958	3403
465	2963	3395
466	2969	3388
467	2974	3380
468	2979	3373
469	2985	3366
470	2990	3358
471	2995	3350
472	3002	3345
473	3007	3337
474	3012	3329
475	3017	3321
476	3022	3314
477	3028	3307
478	3033	3299
479	3039	3292
480	3043	3284
481	3048	3276
482	3054	3269
483	3059	3261
484	3064	3254
485	3069	3246
486	3074	3238
487	3080	3232
488	3085	3224
489	3090	3216
490	3095	3208
491	3100	3201
492	3105	3193
493	3110	3186
494	3115	3178
495	3121	3171
496	3126	3164
497	3131	3156
498	3136	3149
499	3141	3141
500	3146	3133
501	3151	3126
502	3156	3118
503	3163	3112
504	3172	3109
505	3177	3102
506	3182	3095
507	3187	3087
508	3192	3079
509	3198	3073
510	3203	3065
511	3208	3058
512	3213	3050
513	3219	3043
514	3224	3036
515	3229	3028
516	3234	3021
517	3239	3013
518	3245	3008
519	3251	3001
520	3256	2994
521	3261	2986
522	3266	2979
523	3271	2972
524	3276	2964
525	3282	2957
526	3287	2950
527	3292	2943
528	3297	2936
529	3304	2930
530	3309	2923
531	3314	2916
532	3320	2909
533	3326	2902
534	3331	2895
535	3336	2888
536	3341	2880
537	3346	2873
538	3351	2866
539	3357	2859
540	3362	2852
541	3366	2845
542	3371	2837
543	3376	2830
544	3381	2823
545	3386	2816
546	3392	2809
547	3397	2802
548	3402	2795
549	3407	2788
550	3412	2780
551	3418	2774
552	3423	2766
553	3428	2759
554	3432	2752
555	3437	2745
556	3442	2738
557	3447	2730
558	3452	2723
559	3458	2717
560	3463	2710
561	3469	2703
562	3474	2697
563	3480	2690
564	3486	2683
565	3491	2676
566	3496	2669
567	3501	2662
568	3506	2655
569	3511	2648
570	3516	2642
571	3521	2635
572	3526	2628
573	3532	2621
574	3537	2614
575	3542	2607
576	3547	2600
577	3552	2593
578	3557	2586
579	3562	2579
580	3567	2572
581	3572	2565
582	3577	2558
583	3582	2551
584	3588	2545
585	3593	2538
586	3598	2532
587	3604	2525
588	3609	2518
589	3614	2511
590	3618	2504
591	3623	2497
592	3628	2490
593	3633	2483
594	3638	2476
595	3643	2469
596	3648	2462
597	3653	2455
598	3658	2449
599	3663	2442
600	3667	2435
601	3672	2428
602	3677	2421
603	3682	2414
604	3687	2407
605	3692	2400
606	3697	2393
607	3701	2386
608	3707	2380
609	3712	2373
610	3717	2366
611	3722	2360
612	3727	2353
613	3732	2346
614	3737	2339
615	3742	2332
616	3746	2325
617	3751	2318
618	3756	2312
619	3761	2305
620	3766	2298
621	3771	2291
622	3776	2285
623	3781	2278
624	3785	2271
625	3790	2264
626	3795	2258
627	3800	2251
628	3805	2244
629	3810	2237
630	3815	2231
631	3820	2224
632	3825	2217
633	3832	2212
634	3843	2208
635	3855	2206
636	3867	2204
637	3882	2202
638	3894	2200
639	3910	2199
640	3922	2197
641	3939	2196
642	3948	2192
643	3953	2185
644	3959	2179
645	3964	2172
646	3971	2167
647	3976	2160
648	3981	2153
649	3987	2147
650	3992	2140
651	3997	2133
652	4002	2126
653	4007	2120
654	4012	2113
655	4017	2106
656	4022	2099
657	4027	2093
658	4032	2086
659	4040	2081
660	4045	2074
661	4050	2068
662	4055	2061
663	4060	2054
664	4065	2048
665	4072	2042
666	4086	2040
667	4094	2035
668	4106	2031
669	4117	2028
670	4123	2021
671	4130	2016
672	4146	2014
673	4158	2011
674	4176	2011
675	4194	2010
676	4200	2003
677	4214	2001
678	4223	1996
679	4234	1992
680	4245	1988
681	4256	1984
682	4266	1980
683	4275	1975
684	4281	1968
685	4285	1961
686	4290	1954
687	4295	1948
688	4300	1941
689	4305	1934
690	4310	1927
691	4315	1920
692	4319	1913
693	4324	1906
694	4329	1899
695	4334	1893
696	4339	1886
697	4344	1879
698	4348	1872
699	4353	1865
700	4358	1859
701	4363	1852
702	4368	1845
703	4373	1838
704	4378	1832
705	4383	1825
706	4388	1818
707	4392	1811
708	4397	1805
709	4402	1798
710	4409	1792
711	4414	1785
712	4419	1779
713	4424	1772
714	4429	1765
715	4434	1758
716	4438	1752
717	4443	1745
718	4449	1738
719	4454	1732
720	4459	1725
721	4464	1718
722	4469	1712
723	4474	1705
724	4479	1699
725	4484	1692
726	4489	1685
727	4494	1679
728	4499	1672
729	4504	1665
730	4509	1659
731	4514	1652
732	4519	1646
733	4525	1639
734	4530	1633
735	4535	1626
736	4540	1620
737	4545	1613
738	4551	1607
739	4556	1600
740	4561	1594
741	4566	1587
742	4571	1581
743	4576	1574
744	4581	1568
745	4585	1561
746	4591	1554
747	4596	1548
748	4601	1542
749	4606	1535
750	4611	1528
751	4616	1522
752	4621	1515
753	4628	1510
754	4633	1503
755	4638	1497
756	4643	1490
757	4649	1484
758	4653	1477
759	4658	1471
760	4663	1464
761	4668	1458
762	4673	1451
763	4678	1445
764	4683	1438
765	4689	1432
766	4695	1426
767	4700	1419
768	4705	1413
769	4711	1407
770	4732	1405
771	4737	1399
772	4742	1392
773	4748	1386
774	4753	1379
775	4757	1373
776	4762	1366
777	4768	1360
778	4775	1354
779	4788	1350
780	4796	1344
781	4802	1338
782	4806	1332
783	4811	1325
784	4816	1319
785	4821	1312
786	4826	1306
787	4831	1299
788	4836	1293
789	4841	1287
790	4847	1280
791	4852	1274
792	4857	1267
793	4861	1261
794	4866	1254
795	4871	1248
796	4877	1242
797	4882	1235
798	4888	1229
799	4897	1224
800	4902	1218
801	4909	1212
802	4915	1205
803	4920	1199
804	4927	1193
805	4932	1187
806	4937	1180
807	4942	1174
808	4948	1168
809	4953	1161
810	4958	1155
811	4963	1149
812	4967	1142
813	4972	1136
814	4977	1129
815	4982	1123
816	4988	1117
817	4993	1111
818	4999	1104
819	5005	1098
820	5011	1092
821	5016	1086
822	5020	1079
823	5025	1073
824	5030	1067
825	5035	1060
826	5041	1054
827	5046	1048
828	5051	1041
829	5056	1035
830	5062	1029
831	5067	1023
832	5072	1016
833	5076	1010
834	5081	1004
835	5086	997
836	5091	991
837	5096	985
838	5101	978
839	5107	972
840	5120	968
841	5127	962
842	5132	955
843	5136	949
844	5142	943
845	5148	937
846	5152	930
847	5157	924
848	5162	918
849	5167	911
850	5174	905
851	5180	899
852	5185	893
853	5190	887
854	5196	881
855	5201	874
856	5206	868
857	5210	862
858	5215	856
859	5221	849
860	5226	843
861	5231	837
862	5236	831
863	5241	825
864	5246	818
865	5251	812
866	5256	806
867	5261	800
868	5267	793
869	5272	787
870	5276	781
871	5281	775
872	5286	769
873	5292	762
874	5296	756
875	5301	750
876	5306	744
877	5311	738
878	5316	731
879	5321	725
880	5326	719
881	5331	713
882	5336	707
883	5340	700
884	5345	694
885	5350	688
886	5355	682
887	5362	676
888	5367	670
889	5372	663
890	5376	657
891	5382	651
892	5386	645
893	5391	639
894	5396	633
895	5401	626
896	5406	620
897	5411	614
898	5416	608
899	5420	602
900	5425	596
901	5430	590
902	5435	583
903	5440	577
904	5445	571
905	5450	565
906	5456	559
907	5462	553
908	5466	547
909	5472	541
910	5477	535
911	5482	528
912	5487	522
913	5492	516
914	5497	510
915	5502	504
916	5508	498
917	5513	492
918	5518	486
919	5522	480
920	5528	474
921	5532	468
922	5537	461
923	5543	455
924	5548	449
925	5553	443
926	5557	437
927	5562	431
928	5567	425
929	5572	419
930	5577	413
931	5581	407
932	5586	401
933	5593	395
934	5598	389
935	5602	383
936	5607	377
937	5612	370
938	5617	364
939	5622	358
940	5627	352
941	5632	346
942	5637	340
943	5642	334
944	5648	328
945	5653	322
946	5658	316
947	5663	310
948	5668	304
949	5675	298
950	5686	292
951	5698	287
952	5730	282
953	5743	276
954	5755	271
955	5770	265
956	5782	259
957	5797	254
958	5809	248
959	5824	242
960	5834	236
961	5842	230
962	5848	224
963	5856	218
964	5867	212
965	5883	207
966	5894	201
967	5909	195
968	5926	189
969	5938	183
970	5953	177
971	5961	171
972	5966	165
973	5971	159
974	5976	153
975	5981	147
976	5986	140
977	5990	134
978	5995	128
979	6000	122
980	6005	116
981	6011	110
982	6016	104
983	6021	97
984	6026	91
985	6031	85
986	6036	79
987	6041	73
988	6045	67
989	6050	61
990	6058	55
991	6069	48
992	6074	42
993	6079	36
994	6084	30
995	6089	24
996	6094	18
997	6100	12
998	6109	6
999	6115	0
